Id,Name,NumBytes,Type,Min,Max,Multiplier,Units,Description,SupportedModels,Groups
11,ICCID1,8,Unsigned,0,0,1,,"Value of SIM ICCID, MSB","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
11,Analog Input 3,2,Unsigned,0,30000,0,V,"Voltage, V","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
12,Fuel Used GPS,4,Unsigned,0,4294967295,0.001,l,Fuel Used,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
12,Program Number,2,Unsigned,0,999,1,,"Value: Min – 0, Max – 999","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
13,Fuel Rate GPS,2,Unsigned,0,32767,0.01,l/100km,Average Fuel Use,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
13,Module ID,8,Unsigned,0,0,1,,Module ID,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
14,ICCID2,8,Unsigned,0,0,1,,"Value of SIM ICCID, LSB","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Eventual I/O elements
14,Engine Worktime,4,Unsigned,0,16777215,1,min,Engine work time in minutes,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
15,Eco Score,2,Unsigned,0,65535,0.01,,Average amount of events on some distance,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
15,Engine Worktime (Counted),4,Unsigned,0,16777215,1,min,Total Engine work time in minutes,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
16,Total Odometer,4,Unsigned,0,2147483647,1,,Total Odometer value in meters,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
16,Total Mileage (Counted),4,Unsigned,0,4294967295,1,m,"Total Vehicle Mileage, m","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
16,Total Odometer,4,Unsigned,0,2147483647,1,m,Total Odometer value,"GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
17,Axis X,2,Signed,-8000,8000,1,mG,X axis value,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
17,Fuel Consumed (counted),4,Unsigned,0,2147483647,0,l,"Total Fuel Consumed, l","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
17,Axis X,2,Signed,-8000,8000,0.001,G,X axis value,"GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
18,Axis Y,2,Signed,-8000,8000,1,mG,Y axis value,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
18,Fuel Rate,2,Unsigned,0,32768,0,l/h,Fuel Rate l/h,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
18,Axis Y,2,Signed,-8000,8000,0.001,G,Y axis value,"GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
19,Axis Z,2,Signed,-8000,8000,1,mG,Z axis value,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
19,AdBlue Level Percent,1,Unsigned,0,255,1,%,"AdBlue, %","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
19,Axis Z,2,Signed,-8000,8000,0.001,G,Z axis value,"GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
20,BLE Battery #2,1,Unsigned,0,100,1,%,Battery level of sensor #2,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
20,AdBlue Level Liters,2,Unsigned,0,65535,0,l,"AdBlue level, L","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
21,GSM Signal,1,Unsigned,0,5,1,,Value in range 1-5,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB640, FMB641, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC640, FMC650, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM640, FMM650, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O Elements
22,BLE Battery #3,1,Unsigned,0,100,1,%,Battery level of sensor #3,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
22,Data Mode,1,Unsigned,0,5,1,,"0 – Home On Stop 
1 – Home On Moving 
2 – Roaming On Stop 
3 – Roaming On Moving 
4 – Unknown On Stop 
5 – Unknown On Moving","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
23,BLE Battery #4,1,Unsigned,0,100,1,%,Battery level of sensor #4,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
23,Engine Load,1,Unsigned,0,130,1,%,"Engine load, %","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
24,Speed,2,Unsigned,0,350,1,km/h,GNSS Speed,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB640, FMB641, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC640, FMC650, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM640, FMM650, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
25,BLE Temperature #1,2,Signed,-4000,12500,0.01,°C,"Degrees ( °C ), -40 - +125;
Error codes: 
4000 - abnormal sensor state 
3000 - sensor not found 
2000 - failed sensor data parsing 
From firmware version 03.28.00 and up: 
32767 - sensor not found 
32766 - failed sensor data parsing 
32765 - abnormal sensor state","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Bluetooth Low Energy
25,Engine Temperature,2,Signed,-600,1270,0,°C,"Engine Temperature, °C","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
25,BLE Temperature #1,2,Signed,-400,12050,1,°C,"Degrees ( °C ), -40 - +125;","GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
26,BLE Temperature #2,2,Signed,-4000,12500,0.01,°C,"Degrees ( °C ), -40 - +125;
Error codes: 
4000 - abnormal sensor state 
3000 - sensor not found 
2000 - failed sensor data parsing 
From firmware version 03.28.00 and up: 
32767 - sensor not found 
32766 - failed sensor data parsing 
32765 - abnormal sensor state","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Bluetooth Low Energy
26,Axle 1 Load,2,Unsigned,0,32768,1,kg,"Axle 1 load, kg","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
26,BLE Temperature #2,2,Signed,-400,12050,1,°C,"Degrees ( °C ), -40 - +125;","GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
27,BLE Temperature #3,2,Signed,-4000,12500,0.01,°C,"Degrees ( °C ), -40 - +125;
Error codes: 
4000 - abnormal sensor state 
3000 - sensor not found 
2000 - failed sensor data parsing 
From firmware version 03.28.00 and up: 
32767 - sensor not found 
32766 - failed sensor data parsing 
32765 - abnormal sensor state","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Bluetooth Low Energy
27,Axle 2 Load,2,Unsigned,0,32768,1,kg,"Axle 2 load, kg","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
27,BLE Temperature #3,2,Signed,-400,12050,1,°C,"Degrees ( °C ), -40 - +125;","GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
28,BLE Temperature #4,2,Signed,-4000,12500,0.01,°C,"Degrees ( °C ), -40 - +125;
Error codes: 
4000 - abnormal sensor state 
3000 - sensor not found 
2000 - failed sensor data parsing 
From firmware version 03.28.00 and up: 
32767 - sensor not found 
32766 - failed sensor data parsing 
32765 - abnormal sensor state","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Bluetooth Low Energy
28,Axle 3 Load,2,Unsigned,0,32768,1,kg,"Axle 3 load, kg","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
28,BLE Temperature #4,2,Signed,-400,12050,1,°C,"Degrees ( °C ), -40 - +125;","GH5200, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
29,BLE Battery #1,1,Unsigned,0,100,1,%,Battery level of sensor #1,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Bluetooth Low Energy
29,Axle 4 Load,2,Unsigned,0,32768,1,kg,"Axle 4 load, kg","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
30,Number of DTC,1,Unsigned,0,255,1,,Number of DTC,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",OBD elements
30,Vehicle Speed,1,Unsigned,0,255,1,km/h,Value in km/h,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
31,Engine Load,1,Unsigned,0,100,1,%,Calculated engine load value,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",OBD elements
31,Accelerator Pedal Position,1,Unsigned,0,255,1,%,"Value in persentages, %","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
32,Coolant Temperature,1,Signed,-128,127,1,°C,Engine coolant temperature,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",OBD elements
32,Axle 5 Load,2,Unsigned,0,32768,1,kg,"Axle 5 load, kg","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",CAN adapters elements
33,Short Fuel Trim,1,Signed,-100,99,1,%,Short term fuel trim 1,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",OBD elements
